"VCF0702","VCF0101","VCF0110","VCF0114","VCF0301","VCF0310","VCF0009z","vote","age","education","income","party_id","interest","weight"
1,35,1,1,1,2,1,0,35,"LessHS",1,"StrongDem",2,1
2,49,1,1,1,3,1,1,49,"LessHS",1,"StrongDem",3,1
1,46,1,2,2,1,1,0,46,"LessHS",2,"WeakDem",1,1
2,22,2,4,2,2,1,1,22,"HighSchool",4,"WeakDem",2,1
2,29,3,3,5,3,1,1,29,"SomeCollege",3,"IndLeanRep",3,1
2,29,2,4,5,2,1,1,29,"HighSchool",4,"IndLeanRep",2,1
2,23,2,3,7,2,1,1,23,"HighSchool",3,"StrongRep",2,1
1,57,1,1,1,1,1,0,57,"LessHS",1,"StrongDem",1,1
2,22,1,2,2,3,1,1,22,"LessHS",2,"WeakDem",3,1
2,83,1,1,7,3,1,1,83,"LessHS",1,"StrongRep",3,1
2,28,2,3,5,3,1,1,28,"HighSchool",3,"IndLeanRep",3,1
2,40,1,4,6,1,1,1,40,"LessHS",4,"WeakRep",1,1
2,38,4,4,6,2,1,1,38,"CollegePlus",4,"WeakRep",2,1
2,27,2,2,5,2,1,1,27,"HighSchool",2,"IndLeanRep",2,1
2,23,2,3,2,2,1,1,23,"HighSchool",3,"WeakDem",2,1
2,23,1,2,1,2,1,1,23,"LessHS",2,"StrongDem",2,1
1,34,1,3,6,2,1,0,34,"LessHS",3,"WeakRep",2,1
2,36,2,3,1,3,1,1,36,"HighSchool",3,"StrongDem",3,1
1,42,1,2,1,0,1,0,42,"LessHS",2,"StrongDem",0,1
1,39,1,1,2,1,1,0,39,"LessHS",1,"WeakDem",1,1
2,60,2,5,6,3,1,1,60,"HighSchool",5,"WeakRep",3,1
2,67,1,1,5,2,1,1,67,"LessHS",1,"IndLeanRep",2,1
2,27,1,3,1,2,1,1,27,"LessHS",3,"StrongDem",2,1
2,33,4,4,7,2,1,1,33,"CollegePlus",4,"StrongRep",2,1
2,71,2,1,7,3,1,1,71,"HighSchool",1,"StrongRep",3,1
2,54,2,2,7,3,1,1,54,"HighSchool",2,"StrongRep",3,1
1,28,1,2,6,2,1,0,28,"LessHS",2,"WeakRep",2,1
2,38,2,3,3,2,1,1,38,"HighSchool",3,"IndLeanDem",2,1
2,52,3,4,2,2,1,1,52,"SomeCollege",4,"WeakDem",2,1
2,46,2,5,3,2,1,1,46,"HighSchool",5,"IndLeanDem",2,1
2,35,2,4,2,1,1,1,35,"HighSchool",4,"WeakDem",1,1
2,56,1,1,1,1,1,1,56,"LessHS",1,"StrongDem",1,1
2,26,1,2,2,2,1,1,26,"LessHS",2,"WeakDem",2,1
2,35,1,4,2,3,1,1,35,"LessHS",4,"WeakDem",3,1
2,25,3,3,6,1,1,1,25,"SomeCollege",3,"WeakRep",1,1
2,29,4,4,3,2,1,1,29,"CollegePlus",4,"IndLeanDem",2,1
2,67,3,1,3,3,1,1,67,"SomeCollege",1,"IndLeanDem",3,1
2,65,2,1,7,3,1,1,65,"HighSchool",1,"StrongRep",3,1
2,34,2,2,3,2,1,1,34,"HighSchool",2,"IndLeanDem",2,1
2,38,4,4,1,2,1,1,38,"CollegePlus",4,"StrongDem",2,1
2,28,4,4,2,2,1,1,28,"CollegePlus",4,"WeakDem",2,1
2,33,1,2,6,2,1,1,33,"LessHS",2,"WeakRep",2,1
2,52,4,2,3,3,1,1,52,"CollegePlus",2,"IndLeanDem",3,1
2,50,2,3,2,1,1,1,50,"HighSchool",3,"WeakDem",1,1
2,33,2,2,5,1,1,1,33,"HighSchool",2,"IndLeanRep",1,1
1,21,2,4,2,2,1,0,21,"HighSchool",4,"WeakDem",2,1
2,0,1,3,6,1,1,1,0,"LessHS",3,"WeakRep",1,1
1,56,1,3,2,1,1,0,56,"LessHS",3,"WeakDem",1,1
2,41,2,4,6,2,1,1,41,"HighSchool",4,"WeakRep",2,1
2,45,1,1,1,1,1,1,45,"LessHS",1,"StrongDem",1,1
1,21,1,1,2,2,1,0,21,"LessHS",1,"WeakDem",2,1
2,41,2,4,6,2,1,1,41,"HighSchool",4,"WeakRep",2,1
2,24,2,3,7,3,1,1,24,"HighSchool",3,"StrongRep",3,1
2,42,4,5,7,2,1,1,42,"CollegePlus",5,"StrongRep",2,1
2,0,1,3,7,2,1,1,0,"LessHS",3,"StrongRep",2,1
1,58,2,1,1,2,1,0,58,"HighSchool",1,"StrongDem",2,1
2,47,2,3,4,2,1,1,47,"HighSchool",3,"Independent",2,1
2,35,2,4,2,2,1,1,35,"HighSchool",4,"WeakDem",2,1
1,45,1,3,1,2,1,0,45,"LessHS",3,"StrongDem",2,1
2,37,2,3,2,1,1,1,37,"HighSchool",3,"WeakDem",1,1
2,30,3,4,2,3,1,1,30,"SomeCollege",4,"WeakDem",3,1
1,73,1,1,5,3,1,0,73,"LessHS",1,"IndLeanRep",3,1
1,76,1,1,6,1,1,0,76,"LessHS",1,"WeakRep",1,1
2,38,2,4,3,2,1,1,38,"HighSchool",4,"IndLeanDem",2,1
2,49,1,1,2,2,1,1,49,"LessHS",1,"WeakDem",2,1
2,42,2,4,2,3,1,1,42,"HighSchool",4,"WeakDem",3,1
1,45,2,3,2,2,1,0,45,"HighSchool",3,"WeakDem",2,1
1,48,1,1,3,2,1,0,48,"LessHS",1,"IndLeanDem",2,1
1,62,2,1,5,3,1,0,62,"HighSchool",1,"IndLeanRep",3,1
2,68,1,3,2,2,1,1,68,"LessHS",3,"WeakDem",2,1
2,52,2,4,5,3,1,1,52,"HighSchool",4,"IndLeanRep",3,1
2,52,1,2,7,2,1,1,52,"LessHS",2,"StrongRep",2,1
2,44,2,4,6,2,1,1,44,"HighSchool",4,"WeakRep",2,1
2,55,1,3,7,3,1,1,55,"LessHS",3,"StrongRep",3,1
